1,1,1,1,7,5,8,1,2,9,32
2,1,1,2,2,6,7,9,7,M,31
3,1,1,3,9,9,3,3,X,3,37
4,1,1,4,5,5,1,5,10,3,29
5,1,1,5,2,2,6,1,5,5,21
6,1,1,6,3,3,7,6,9,3,31
7,2,2,1,5,1,X,3,M,3,22
8,2,2,2,9,9,5,9,2,1,35
9,2,2,3,8,8,1,5,4,5,31
10,2,2,4,4,9,8,3,6,9,39
11,2,2,5,8,8,3,M,6,4,29
12,3,3,1,5,1,8,8,6,1,29
13,3,3,2,M,6,7,2,1,X,26
14,3,3,3,1,6,6,4,7,5,29
15,3,3,4,X,6,5,2,6,6,35
16,3,3,5,3,9,4,5,8,2,31
17,3,3,6,4,2,4,7,5,4,26
18,4,4,1,6,1,7,2,X,4,30
19,4,4,2,7,8,2,6,10,8,41
20,4,4,3,10,8,7,2,2,6,35
21,4,4,4,X,M,9,5,7,2,33
22,4,4,5,2,5,6,3,1,X,27
23,4,4,6,9,M,7,2,2,3,23
24,5,5,1,2,M,3,4,X,8,27
25,5,5,2,7,9,M,4,M,8,28
26,5,5,3,3,3,2,8,10,2,28
27,5,5,4,3,7,1,M,8,M,19
28,5,5,5,1,8,1,5,9,6,30
29,5,5,6,2,3,8,8,10,4,35
30,6,6,1,6,M,X,3,X,7,36
31,6,6,2,9,7,10,4,7,10,47
32,6,6,3,X,9,M,1,1,10,31
33,6,6,4,M,7,4,4,6,1,22
34,6,6,5,M,1,8,2,4,4,19
35,6,6,6,10,9,9,X,10,7,55
36,7,7,1,8,10,8,1,8,7,42
37,7,7,2,M,4,10,1,10,X,35
38,7,7,3,8,1,10,3,7,6,35
39,7,7,4,5,3,1,5,M,9,23
40,7,7,5,5,7,5,10,2,5,34
41,7,7,6,M,6,9,10,9,4,38
42,8,8,1,8,M,4,X,10,6,38
43,8,8,2,M,8,4,8,10,8,38
44,8,8,3,M,9,2,9,5,6,31
45,8,8,4,M,M,10,9,9,X,38
46,8,8,5,6,2,2,2,6,7,25
